,date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max
2025,2020-07-18,21.26919371727749,1.4969058433050921e-05,14.239360254151052,21.926050482738077,55,72,20,0,72
2026,2020-07-19,23.20391623036649,1.3955867324657176e-05,14.244136904023232,21.932662381176936,55,72,22,0,72
2027,2020-07-20,23.86542931937173,1.7278694645820594e-05,14.248913553895411,102.925,55,175,22,0,175
2028,2020-07-21,28.086717277486912,1.7823419075901824e-05,14.253690203767592,43.563,55,121,26,0,121
2029,2020-07-22,41.55497905759162,2.457801554720936e-05,14.25846685363977,28.986,55,86,39,0,86
2030,2020-07-23,47.3377277486911,2.4610699624421347e-05,14.263243503511951,26.425,55,81,44,0,81
2031,2020-07-24,31.60567539267016,1.2877312429033103e-05,14.26802015338413,28.795,55,86,29,0,86
2032,2020-07-25,28.361570680628272,1.1243134771595773e-05,14.27279680325631,21.97233377181008,55,72,26,0,72
2033,2020-07-26,19.931958115183246,1.076377631234169e-05,14.277573453128491,21.978945670248937,55,72,18,0,72
2034,2020-07-27,23.68875916230367,1.076377631234169e-05,15.0,21.985557568687796,57,72,22,0,72
2035,2020-07-28,25.798643979057594,1.3661717180539785e-05,14.287126752872851,21.99216946712665,55,72,24,0,72
2036,2020-07-29,33.29325130890053,1.671218010306577e-05,17.547,30.475,62,89,31,0,89
2037,2020-07-30,45.987858638743454,2.2203013363612545e-05,21.0,41.547,70,116,42,0,116
2038,2020-07-31,54.57443455497383,3.136529609572889e-05,30.024,160.45,89,211,51,0,211
2039,2020-08-01,19.67897382198953,1.304072844789938e-05,18.0,27.2,63,83,18,0,83
2040,2020-08-02,20.06096335078534,1.483832430779981e-05,14.31101000223375,22.025228959320938,56,72,19,0,72
2041,2020-08-03,20.514078534031416,1.7126170407895885e-05,14.31578665210593,23.453,56,75,19,0,75
2042,2020-08-04,34.19285340314136,1.7768947069613064e-05,14.32056330197811,50.242,56,137,32,0,137
2043,2020-08-05,32.536026178010474,1.779073499868984e-05,14.325339951850289,28.02,56,84,30,0,84
2044,2020-08-06,41.78450785340314,1.728958861035898e-05,21.0,25.121,70,78,39,0,78
2045,2020-08-07,66.58125654450262,3.4524703030832385e-05,30.0,53.393,89,145,64,0,145
2046,2020-08-08,60.25857591623037,4.113767141235043e-05,33.9,46.378,97,128,57,0,128
2047,2020-08-09,28.111408376963354,3.671450126648616e-05,33.0,39.614,95,111,26,0,111
2048,2020-08-10,52.44289005235602,3.723743776749061e-05,53.7,81.161,146,164,49,0,164
2049,2020-08-11,51.283534031413616,4.351267577954406e-05,57.5,77.01,152,162,48,0,162
2050,2020-08-12,50.86717277486911,4.728217529915276e-05,74.7,79.228,161,163,47,0,163
2051,2020-08-13,20.31470157068063,3.162676434623111e-05,48.5,52.25,133,142,19,0,142
2052,2020-08-14,21.192575916230368,1.9076288322124203e-05,24.0,41.547,76,116,20,0,116
2053,2020-08-15,24.98692146596859,1.397765743733077e-05,47.3,44.72,130,124,23,0,130
2054,2020-08-16,30.155314136125654,2.0067689317844354e-05,56.0,55.075,151,149,28,0,151
2055,2020-08-17,38.18968062827225,1.9806221067342126e-05,16.5,22.275,60,72,36,0,72
2056,2020-08-18,34.374827225130886,1.4097497598043498e-05,14.387436400188628,22.131019334342657,56,72,32,0,72
2057,2020-08-19,29.60187958115183,1.076377631234169e-05,14.392213050060809,22.137631232781512,56,72,27,0,72
2058,2020-08-20,39.94656544502618,1.6657705913180188e-05,17.0,57.972,61,152,37,0,152
2059,2020-08-21,25.121890052356022,1.6951858240894403e-05,14.401766349805168,38.648,56,109,24,0,109
2060,2020-08-22,24.154397905759165,1.6363555769062803e-05,14.406542999677347,24.155,56,76,23,0,76
2061,2020-08-23,25.84129842931937,1.4718484147087083e-05,14.411319649549528,22.164078826536944,56,72,24,0,72
2062,2020-08-24,32.68589528795812,1.3716189186828545e-05,14.416096299421708,31.885,56,92,30,0,92
2063,2020-08-25,28.8957277486911,1.3422036859114334e-05,14.420872949293887,22.177302623414658,56,72,26,0,72
2064,2020-08-26,33.135952879581154,1.4173757533409031e-05,15.0,22.183914521853513,57,72,31,0,72
2065,2020-08-27,31.440795811518328,1.1199556729845402e-05,14.430426249038247,23.189,56,74,29,0,74
2066,2020-08-28,29.068570680628273,1.3792451305790898e-05,14.435202898910427,22.197138318731227,56,72,27,0,72
2067,2020-08-29,15.793858638743457,1.329130273386322e-05,14.439979548782608,22.203750217170086,56,72,14,0,72
2068,2020-08-30,15.247397905759163,1.5165158529129183e-05,14.444756198654787,22.223,56,72,14,0,72
2069,2020-08-31,41.39612041884817,1.6635917984103415e-05,22.0,29.952,72,88,39,0,88
2070,2020-09-01,41.986738219895294,2.0699569831426327e-05,26.0,45.758,80,126,39,0,126
2071,2020-09-02,51.955528795811524,2.158202463097214e-05,18.4,39.614,64,111,48,0,111
2072,2020-09-03,37.0876387434555,1.5136105773429995e-05,14.463862798143506,26.087,56,80,35,0,80
2073,2020-09-04,49.076,1.3443826971787928e-05,14.468639448015686,32.851,56,95,46,0,95
2074,2020-09-05,42.44248167539267,1.2953572364398638e-05,17.57,27.054,62,82,40,0,82
2075,2020-09-06,41.45916753926702,1.4402543890296096e-05,32.23,22.256645404680945,93,72,39,0,93
2076,2020-09-07,33.34253926701571,1.1896805397851341e-05,15.3,22.2632573031198,58,72,31,0,72
2077,2020-09-08,29.71802094240838,1.076377631234169e-05,14.487746047504405,22.26986920155866,56,72,27,0,72
2078,2020-09-09,33.82968062827225,1.0970772556555158e-05,16.0,22.276481099997515,59,72,31,0,72
2079,2020-09-10,35.65152356020943,1.784520918857542e-05,20.49,29.163,68,87,33,0,87
2080,2020-09-11,41.99989528795812,1.5884197309808715e-05,18.0,25.121,63,78,39,0,78
2081,2020-09-12,29.633434554973825,1.5895091274347106e-05,14.506852646993126,22.296316795314087,56,72,27,0,72
2082,2020-09-13,30.32632984293194,1.8531561708446154e-05,14.511629296865305,22.302928693752946,56,72,28,0,72
2083,2020-09-14,66.37006282722513,2.80097868809503e-05,81.0,95.654,164,172,64,0,172
2084,2020-09-15,65.31096335078534,2.6408293300724957e-05,56.7,58.32,152,152,63,0,152
2085,2020-09-16,43.076675392670154,2.577641278714298e-05,57.73,49.276,152,135,41,0,152
2086,2020-09-17,33.36037597440372,1.7529266748187616e-05,14.530735896354026,45.411,56,125,31,0,125
2087,2020-09-18,31.65602553810355,1.8912870119661108e-05,15.0,34.783,57,99,29,0,99
2088,2020-09-19,29.951675101803374,2.415312909424404e-05,17.0,34.783,61,99,27,0,99
2089,2020-09-20,28.2473246655032,2.2965628002445627e-05,19.2,30.918,66,91,26,0,91
2090,2020-09-21,57.87626701570681,1.691917416368242e-05,27.0,39.795,82,111,54,0,111
2091,2020-09-22,48.244884816753924,2.584177875797013e-05,26.7,47.99,81,132,45,0,132
2092,2020-09-23,44.9024502617801,2.0104002532972315e-05,16.0,24.155,59,76,42,0,76
2093,2020-09-24,50.06603664921467,1.5393942702419426e-05,14.564172445459285,22.375659576580375,56,72,47,0,72
2094,2020-09-25,22.13562827225131,1.418465368154424e-05,19.0,22.382271475019234,66,72,21,0,72
2095,2020-09-26,18.021222047702153,1.4075707485369903e-05,14.573725745203644,22.38888337345809,56,72,17,0,72
2096,2020-09-27,16.316871611401975,1.4827428159664599e-05,14.578502395075825,24.155,56,76,15,0,76
2097,2020-09-28,39.32589005235602,1.3650821032404578e-05,17.2,30.918,62,91,37,0,91
2098,2020-09-29,41.49302094240838,1.2234535767315922e-05,19.0,31.885,66,92,39,0,92
2099,2020-09-30,44.23843979057592,1.4522381867412e-05,17.0,22.41533096721352,61,73,42,0,73
2100,2020-10-01,50.07492146596859,1.3770661193117303e-05,14.597608994564544,24.21,56,76,47,0,76
2101,2020-10-02,40.118267015706806,1.2492372696305355e-05,14.602385644436723,24.155,56,76,38,0,76
2102,2020-10-03,34.59241884816755,1.4674906105336711e-05,17.0,22.435166662530094,61,73,32,0,73
2103,2020-10-04,27.557607329842934,1.652697178792908e-05,14.611938944181084,22.44177856096895,56,73,25,0,73
2104,2020-10-05,40.6340942408377,1.3999445366407544e-05,14.616715594053263,22.448390459407808,56,73,38,0,73
2105,2020-10-06,38.022413612565444,1.2201851690103941e-05,14.621492243925443,22.455002357846663,56,73,36,0,73
2106,2020-10-07,39.11174869109948,1.3018940518822606e-05,14.626268893797622,22.46161425628552,56,73,37,0,73
2107,2020-10-08,33.26664921465969,1.2971731155559438e-05,14.631045543669803,22.468226154724377,56,73,31,0,73
2108,2020-10-09,42.118748691099476,1.1668021224561096e-05,14.635822193541983,22.474838053163236,56,73,40,0,73
2109,2020-10-10,28.82137172774869,1.228900777360468e-05,14.640598843414162,22.481449951602094,56,73,26,0,73
2110,2020-10-11,29.45802094240838,1.2746578303781989e-05,14.645375493286343,22.48806185004095,56,73,27,0,73
2111,2020-10-12,39.11203141361257,1.076377631234169e-05,18.0,22.49467374847981,63,73,37,0,73
2112,2020-10-13,27.34917277486911,1.076377631234169e-05,14.654928793030702,22.501285646918664,56,73,25,0,73
2113,2020-10-14,29.26061256544503,1.4816534195126214e-05,15.0,32.851,57,95,27,0,95
2114,2020-10-15,26.282575916230368,1.228900777360468e-05,14.664482092775062,28.986,56,86,25,0,86
2115,2020-10-16,33.26387434554974,1.259405406585728e-05,17.0,233.82,61,284,31,0,284
2116,2020-10-17,29.31280104712042,1.3062518560572976e-05,15.0,58.938,57,153,27,0,153
2117,2020-10-18,34.15406282722513,1.0883616473054415e-05,27.382,36.716,83,104,32,0,104
2118,2020-10-19,39.24458638743456,1.7256904533147e-05,21.0,41.547,70,116,37,0,116
2119,2020-10-20,65.58161780104713,1.3846923312079658e-05,16.0,31.885,59,92,63,0,92
2120,2020-10-21,42.37675916230367,1.4446121932046466e-05,14.693141992008142,28.02,56,84,40,0,84
2121,2020-10-22,40.601214659685866,1.4961793606428511e-05,14.697918641880321,107.248,56,178,38,0,178
2122,2020-10-23,45.384445026178014,1.3814239234867673e-05,14.702695291752502,25.121,56,78,42,0,78
2123,2020-10-24,34.00731413612566,1.6646811948641805e-05,14.70747194162468,22.574016529746096,56,73,32,0,73
2124,2020-10-25,34.66588481675392,1.4293597694121759e-05,14.712248591496861,22.58062842818495,56,73,32,0,73
2125,2020-10-26,100.3455497382199,1.1820543278888987e-05,15.0,25.121,57,78,100,0,100
2126,2020-10-27,41.4278167539267,1.253958205956852e-05,14.72180189124122,28.02,56,84,39,0,84
2127,2020-10-28,49.709361256544504,1.4293597694121759e-05,14.726578541113401,28.02,56,84,46,0,84
2128,2020-10-29,35.4540942408377,1.4958162284915711e-05,14.73135519098558,28.986,56,86,33,0,86
2129,2020-10-30,36.167026178010474,1.5698988994672024e-05,14.73613184085776,28.986,56,86,34,0,86
2130,2020-10-31,29.820251308900524,1.5481098785920165e-05,15.0,54.107,57,147,27,0,147
2131,2020-11-01,23.799497382198954,1.7180642414184645e-05,18.8,40.58,65,113,22,0,113
2132,2020-11-02,35.88598429319372,1.5644516988383267e-05,14.7504617904743,28.986,56,86,33,0,86
2133,2020-11-03,48.154450261780106,1.542662677963141e-05,17.0,29.15,61,87,45,0,87
2134,2020-11-04,46.450099476439796,1.2899100358109879e-05,54.0,57.972,147,152,43,0,152
