date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max,value
2015-05-08,107.59464921465968,0.036719948598130846,24.3,34.5,77,98,102,31,102,0.0
2015-05-09,72.19987958115183,0.0473978738317757,21.0,33.6,70,96,70,40,96,0.0
2015-05-10,74.01274869109947,0.04317916355140187,19.5,33.7,67,96,72,36,96,0.0
2015-05-11,87.54293717277487,0.036166000000000004,27.7,38.2,84,108,86,31,108,0.0
2015-05-12,93.88121989528796,0.042783518691588786,18.6,33.4,65,96,93,36,96,0.0
2015-05-13,66.72947643979057,0.04401474299065421,16.9,33.5,61,96,64,37,96,0.0
2015-05-14,80.60386387434556,0.029842242990654206,17.0,28.0,61,84,79,25,84,0.0
2015-05-15,84.61210471204188,0.03807846728971963,22.1,40.3,72,113,83,32,113,0.0
2015-05-16,47.69484816753927,0.04655856074766355,16.2,26.7,59,81,44,39,81,0.0
2015-05-17,57.78703664921466,0.041574210280373836,18.0,27.3,63,83,54,35,83,0.0
2015-05-18,74.74370680628273,0.03881822897196262,19.9,31.5,67,92,72,32,92,0.0
2015-05-19,81.16309424083771,0.03499469158878504,18.7,24.9,65,78,80,29,80,0.0
2015-05-20,67.23589005235601,0.03533018691588785,17.4,26.7,62,81,65,30,81,0.0
2015-05-21,94.6842722513089,0.046631070093457946,31.2,36.2,91,103,94,39,103,0.0
2015-05-22,83.10789005235603,0.03037847196261682,26.8,36.7,82,104,82,25,104,0.0
2015-05-23,49.89396858638743,0.03779240186915887,18.3,26.5,64,81,46,31,81,0.0
2015-05-24,51.79871204188482,0.033898925233644864,19.2,55.097,66,149,48,28,149,0.0
2015-05-25,29.33234554973822,0.039634228971962615,15.9,28.77,59,86,27,33,86,0.0
2015-05-26,35.446335078534034,0.039051373831775704,13.425,46.043,54,127,33,33,127,0.0
2015-05-27,113.76320942408378,0.04448359345794393,53.2,49.116,145,134,103,37,145,0.0
2015-05-28,65.89213612565446,0.04124291121495327,15.7,30.4,58,89,63,35,89,0.0
2015-05-29,97.77030366492147,0.03576406542056075,25.3,33.9,79,97,97,30,97,0.0
2015-05-30,83.00024607329844,0.038258686915887845,23.5,28.9,75,86,82,32,86,0.0
